player,season,award,first_place_votes,award_pts_won,award_pts_max
Bob Pettit,1956,mvp,33.0,33.0,80
Paul Arizin,1956,mvp,21.0,21.0,80
Bob Cousy,1956,mvp,11.0,11.0,80
Mel Hutchins,1956,mvp,9.0,9.0,80
Dolph Schayes,1956,mvp,2.0,2.0,80
Bill Sharman,1956,mvp,2.0,2.0,80
Tom Gola,1956,mvp,1.0,1.0,80
Maurice Stokes,1956,mvp,1.0,1.0,80
Bob Cousy,1957,mvp,23.0,23.0,80
Bob Pettit,1957,mvp,21.0,21.0,80
Paul Arizin,1957,mvp,9.0,9.0,80
Dolph Schayes,1957,mvp,8.0,8.0,80
George Yardley,1957,mvp,7.0,7.0,80
Maurice Stokes,1957,mvp,5.0,5.0,80
Bill Russell,1957,mvp,2.0,2.0,80
Ray Felix,1957,mvp,1.0,1.0,80
Harry Gallatin,1957,mvp,1.0,1.0,80
Mel Hutchins,1957,mvp,1.0,1.0,80
Kenny Sears,1957,mvp,1.0,1.0,80
Jack Twyman,1957,mvp,1.0,1.0,80
Bill Russell,1958,mvp,33.0,228.0,400
Dolph Schayes,1958,mvp,25.0,198.0,400
George Yardley,1958,mvp,12.0,120.0,400
Bob Pettit,1958,mvp,4.0,97.0,400
Maurice Stokes,1958,mvp,2.0,28.0,400
Bob Cousy,1958,mvp,2.0,18.0,400
Bill Sharman,1958,mvp,2.0,11.0,400
Paul Arizin,1958,mvp,0.0,8.0,400
Walter Dukes,1958,mvp,0.0,4.0,400
Vern Mikkelsen,1958,mvp,0.0,3.0,400
Cliff Hagan,1958,mvp,0.0,2.0,400
Neil Johnston,1958,mvp,0.0,1.0,400
Clyde Lovellette,1958,mvp,0.0,1.0,400
Kenny Sears,1958,mvp,0.0,1.0,400
Bob Pettit,1959,mvp,59.0,317.0,410
Bill Russell,1959,mvp,10.0,144.0,410
Elgin Baylor,1959,mvp,2.0,88.0,410
Bob Cousy,1959,mvp,4.0,71.0,410
Paul Arizin,1959,mvp,1.0,39.0,410
Dolph Schayes,1959,mvp,1.0,26.0,410
Larry Costello,1959,mvp,3.0,15.0,410
Kenny Sears,1959,mvp,1.0,12.0,410
Cliff Hagan,1959,mvp,1.0,11.0,410
Jack Twyman,1959,mvp,0.0,7.0,410
Tom Gola,1959,mvp,0.0,3.0,410
Richie Guerin,1959,mvp,0.0,3.0,410
Dick McGuire,1959,mvp,0.0,3.0,410
Al Bianchi,1959,mvp,0.0,1.0,410
Gene Shue,1959,mvp,0.0,1.0,410
Elgin Baylor,1959,roy,73.0,73.0,85
Wilt Chamberlain,1960,mvp,49.0,270.0,395
Bill Russell,1960,mvp,15.0,186.0,395
Bob Pettit,1960,mvp,3.0,106.0,395
Bob Cousy,1960,mvp,8.0,66.0,395
Elgin Baylor,1960,mvp,2.0,40.0,395
Jack Twyman,1960,mvp,0.0,8.0,395
Gene Shue,1960,mvp,0.0,7.0,395
Tom Gola,1960,mvp,1.0,6.0,395
Dolph Schayes,1960,mvp,0.0,6.0,395
Tom Heinsohn,1960,mvp,1.0,5.0,395
Walter Dukes,1960,mvp,0.0,4.0,395
Richie Guerin,1960,mvp,0.0,3.0,395
Willie Naulls,1960,mvp,0.0,3.0,395
Cliff Hagan,1960,mvp,0.0,1.0,395
Bill Russell,1961,mvp,35.0,213.0,380
Bob Pettit,1961,mvp,14.0,125.0,380
Elgin Baylor,1961,mvp,10.0,116.0,380
Wilt Chamberlain,1961,mvp,3.0,81.0,380
Oscar Robertson,1961,mvp,7.0,70.0,380
Bob Cousy,1961,mvp,2.0,17.0,380
Tom Heinsohn,1961,mvp,3.0,15.0,380
Dolph Schayes,1961,mvp,1.0,12.0,380
Bailey Howell,1961,mvp,1.0,9.0,380
Gene Shue,1961,mvp,0.0,8.0,380
Jack Twyman,1961,mvp,0.0,6.0,380
Jerry West,1961,mvp,1.0,5.0,380
Clyde Lovellette,1961,mvp,0.0,4.0,380
Cliff Hagan,1961,mvp,0.0,3.0,380
Richie Guerin,1961,mvp,0.0,2.0,380
Paul Arizin,1961,mvp,0.0,1.0,380
Willie Naulls,1961,mvp,0.0,1.0,380
Kenny Sears,1961,mvp,0.0,1.0,380
Bill Russell,1962,mvp,51.0,297.0,425
Wilt Chamberlain,1962,mvp,9.0,152.0,425
Oscar Robertson,1962,mvp,13.0,135.0,425
Elgin Baylor,1962,mvp,3.0,82.0,425
Jerry West,1962,mvp,6.0,60.0,425
Bob Pettit,1962,mvp,2.0,31.0,425
Richie Guerin,1962,mvp,1.0,5.0,425
Bob Cousy,1962,mvp,0.0,3.0,425
Bill Russell,1963,mvp,56.0,341.0,505
Elgin Baylor,1963,mvp,19.0,221.0,505
Oscar Robertson,1963,mvp,19.0,191.0,505
Bob Pettit,1963,mvp,3.0,84.0,505
Jerry West,1963,mvp,2.0,19.0,505
Red Kerr,1963,mvp,1.0,13.0,505
Wilt Chamberlain,1963,mvp,0.0,9.0,505
Terry Dischinger,1963,mvp,1.0,5.0,505
Bob Cousy,1963,mvp,0.0,5.0,505
John Havlicek,1963,mvp,0.0,3.0,505
John Barnhill,1963,mvp,0.0,1.0,505
Walt Bellamy,1963,mvp,0.0,1.0,505
Oscar Robertson,1964,mvp,60.0,362.0,480
Wilt Chamberlain,1964,mvp,19.0,215.0,480
Bill Russell,1964,mvp,11.0,167.0,480
Bob Pettit,1964,mvp,4.0,69.0,480
Jerry West,1964,mvp,2.0,39.0,480
Elgin Baylor,1964,mvp,0.0,3.0,480
Hal Greer,1964,mvp,0.0,3.0,480
Gus Johnson,1964,mvp,0.0,3.0,480
Wayne Embry,1964,mvp,0.0,1.0,480
Sam Jones,1964,mvp,0.0,1.0,480
Jerry Lucas,1964,mvp,0.0,1.0,480
Jerry Lucas,1964,roy,73.5,73.5,83
Gus Johnson,1964,roy,7.5,7.5,83
Nate Thurmond,1964,roy,2.0,2.0,83
Bill Russell,1965,mvp,53.0,53.0,99
Oscar Robertson,1965,mvp,21.0,21.0,99
Jerry West,1965,mvp,20.0,20.0,99
Sam Jones,1965,mvp,4.0,4.0,99
Wilt Chamberlain,1965,mvp,1.0,1.0,99
Willis Reed,1965,roy,47.0,47.0,79
Luke Jackson,1965,roy,27.0,27.0,79
Jim Barnes,1965,roy,2.0,2.0,79
Ron Bonham,1965,roy,1.0,1.0,79
Joe Caldwell,1965,roy,1.0,1.0,79
Howard Komives,1965,roy,1.0,1.0,79
Wilt Chamberlain,1966,mvp,48.0,181.0,445
Jerry West,1966,mvp,16.0,101.0,445
Oscar Robertson,1966,mvp,14.0,93.0,445
Bill Russell,1966,mvp,7.0,69.0,445
Sam Jones,1966,mvp,2.0,11.0,445
Jerry Lucas,1966,mvp,2.0,11.0,445
Rick Barry,1966,roy,84.0,84.0,86
Billy Cunningham,1966,roy,2.0,2.0,86
Wilt Chamberlain,1967,mvp,80.0,444.0,540
Nate Thurmond,1967,mvp,15.0,170.0,540
Bill Russell,1967,mvp,5.0,96.0,540
Oscar Robertson,1967,mvp,3.0,93.0,540
Rick Barry,1967,mvp,2.0,52.0,540
Dave Bing,1967,roy,74.0,74.0,90
Lou Hudson,1967,roy,13.0,13.0,90
Archie Clark,1967,roy,3.0,3.0,90
Wilt Chamberlain,1968,mvp,88.0,504.0,695
Lenny Wilkens,1968,mvp,26.0,216.0,695
Elgin Baylor,1968,mvp,9.0,129.0,695
Dave Bing,1968,mvp,9.0,127.0,695
Oscar Robertson,1968,mvp,7.0,112.0,695
Earl Monroe,1968,roy,78.0,78.0,79
Bill Bradley,1968,roy,1.0,1.0,79
Wes Unseld,1969,mvp,53.0,310.0,515
Willis Reed,1969,mvp,18.0,137.0,515
Billy Cunningham,1969,mvp,15.0,130.0,515
Bill Russell,1969,mvp,11.0,93.0,515
Elgin Baylor,1969,mvp,6.0,89.0,515
Wes Unseld,1969,roy,53.0,53.0,78
Elvin Hayes,1969,roy,25.0,25.0,78
Willis Reed,1970,mvp,61.0,498.0,775
Jerry West,1970,mvp,51.0,457.0,775
Kareem Abdul-Jabbar,1970,mvp,30.0,335.0,775
Walt Frazier,1970,mvp,4.0,50.0,775
Billy Cunningham,1970,mvp,2.0,27.0,775
Connie Hawkins,1970,mvp,2.0,27.0,775
Lou Hudson,1970,mvp,2.0,23.0,775
Bill Bridges,1970,mvp,1.0,12.0,775
Wes Unseld,1970,mvp,0.0,12.0,775
John Havlicek,1970,mvp,1.0,9.0,775
Nate Thurmond,1970,mvp,1.0,5.0,775
Walt Bellamy,1970,mvp,0.0,3.0,775
Joe Caldwell,1970,mvp,0.0,3.0,775
Walt Hazzard,1970,mvp,0.0,3.0,775
Elgin Baylor,1970,mvp,0.0,2.0,775
Bob Love,1970,mvp,0.0,1.0,775
Earl Monroe,1970,mvp,0.0,1.0,775
Otto Moore,1970,mvp,0.0,1.0,775
Oscar Robertson,1970,mvp,0.0,1.0,775
Kareem Abdul-Jabbar,1970,roy,78.0,78.0,78
Kareem Abdul-Jabbar,1971,mvp,133.0,698.0,780
Jerry West,1971,mvp,4.0,166.0,780
Dave Bing,1971,mvp,6.0,119.0,780
Willis Reed,1971,mvp,5.0,109.0,780
Oscar Robertson,1971,mvp,5.0,63.0,780
John Havlicek,1971,mvp,1.0,56.0,780
Bob Love,1971,mvp,0.0,38.0,780
Nate Thurmond,1971,mvp,0.0,33.0,780
Billy Cunningham,1971,mvp,1.0,25.0,780
Gus Johnson,1971,mvp,1.0,15.0,780
Dave Cowens,1971,roy,36.0,36.0,98
Geoff Petrie,1971,roy,36.0,36.0,98
Pete Maravich,1971,roy,21.0,21.0,98
Calvin Murphy,1971,roy,4.0,4.0,98
Bob Lanier,1971,roy,1.0,1.0,98
Kareem Abdul-Jabbar,1972,mvp,81.0,581.0,900
Jerry West,1972,mvp,44.0,393.0,900
Wilt Chamberlain,1972,mvp,36.0,294.0,900
John Havlicek,1972,mvp,1.0,65.0,900
Spencer Haywood,1972,mvp,2.0,49.0,900
Bob Love,1972,mvp,1.0,29.0,900
Dave Cowens,1972,mvp,2.0,28.0,900
Nate Thurmond,1972,mvp,1.0,24.0,900
Bob Lanier,1972,mvp,2.0,21.0,900
Dave DeBusschere,1972,mvp,1.0,20.0,900
Walt Frazier,1972,mvp,1.0,19.0,900
Archie Clark,1972,mvp,0.0,17.0,900
Jerry Lucas,1972,mvp,0.0,14.0,900
Paul Silas,1972,mvp,1.0,11.0,900
Tiny Archibald,1972,mvp,2.0,10.0,900
Oscar Robertson,1972,mvp,1.0,10.0,900
Connie Hawkins,1972,mvp,1.0,5.0,900
Elvin Hayes,1972,mvp,1.0,5.0,900
Cazzie Russell,1972,mvp,1.0,5.0,900
Sidney Wicks,1972,mvp,1.0,5.0,900
Billy Cunningham,1972,mvp,0.0,3.0,900
Gail Goodrich,1972,mvp,0.0,3.0,900
Pete Maravich,1972,mvp,0.0,3.0,900
Jerry Sloan,1972,mvp,0.0,3.0,900
Walt Bellamy,1972,mvp,0.0,1.0,900
Bill Bradley,1972,mvp,0.0,1.0,900
Fred Carter,1972,mvp,0.0,1.0,900
Sidney Wicks,1972,roy,77.0,77.0,115
Elmore Smith,1972,roy,21.0,21.0,115
Austin Carr,1972,roy,9.0,9.0,115
Clifford Ray,1972,roy,5.0,5.0,115
Curtis Rowe,1972,roy,2.0,2.0,115
Mike Newlin,1972,roy,1.0,1.0,115
Dave Cowens,1973,mvp,67.0,444.0,875
Kareem Abdul-Jabbar,1973,mvp,33.0,339.0,875
Tiny Archibald,1973,mvp,44.0,319.0,875
Wilt Chamberlain,1973,mvp,12.0,123.0,875
John Havlicek,1973,mvp,5.0,88.0,875
Jerry West,1973,mvp,1.0,70.0,875
Walt Frazier,1973,mvp,4.0,40.0,875
Spencer Haywood,1973,mvp,4.0,40.0,875
Nate Thurmond,1973,mvp,2.0,33.0,875
Elvin Hayes,1973,mvp,1.0,18.0,875
Dave DeBusschere,1973,mvp,0.0,9.0,875
Bob Love,1973,mvp,0.0,9.0,875
Elmore Smith,1973,mvp,0.0,6.0,875
Bob Lanier,1973,mvp,1.0,5.0,875
Wes Unseld,1973,mvp,1.0,5.0,875
Sidney Wicks,1973,mvp,0.0,3.0,875
Lenny Wilkens,1973,mvp,0.0,3.0,875
Lou Hudson,1973,mvp,0.0,2.0,875
Lucius Allen,1973,mvp,0.0,1.0,875
Rick Barry,1973,mvp,0.0,1.0,875
Dave Bing,1973,mvp,0.0,1.0,875
Pete Maravich,1973,mvp,0.0,1.0,875
Bob McAdoo,1973,roy,12.8,12.8,17
Lloyd Neal,1973,roy,3.7,3.7,17
Chris Ford,1973,roy,0.2,0.2,17
Jim Price,1973,roy,0.1,0.1,17
Bud Stallworth,1973,roy,0.1,0.1,17
Kareem Abdul-Jabbar,1974,mvp,74.0,528.0,905
Bob McAdoo,1974,mvp,60.0,451.0,905
Bob Lanier,1974,mvp,37.0,395.0,905
Dave Cowens,1974,mvp,3.0,91.0,905
Elvin Hayes,1974,mvp,4.0,74.0,905
Walt Frazier,1974,mvp,2.0,24.0,905
Rick Barry,1974,mvp,0.0,10.0,905
Nate Thurmond,1974,mvp,1.0,8.0,905
John Havlicek,1974,mvp,0.0,5.0,905
Norm Van Lier,1974,mvp,0.0,5.0,905
Dave Bing,1974,mvp,0.0,3.0,905
Phil Chenier,1974,mvp,0.0,3.0,905
Dave DeBusschere,1974,mvp,0.0,3.0,905
Clifford Ray,1974,mvp,0.0,3.0,905
Lucius Allen,1974,mvp,0.0,2.0,905
Bob Love,1974,mvp,0.0,2.0,905
Spencer Haywood,1974,mvp,0.0,1.0,905
Clyde Lee,1974,mvp,0.0,1.0,905
Pete Maravich,1974,mvp,0.0,1.0,905
Rudy Tomjanovich,1974,mvp,0.0,1.0,905
Ernie DiGregorio,1974,roy,16.0,16.0,17
Ron Behagen,1974,roy,0.7,0.7,17
Slick Watts,1974,roy,0.2,0.2,17
Bob McAdoo,1975,mvp,81.0,547.0,965
Dave Cowens,1975,mvp,32.0,310.0,965
Elvin Hayes,1975,mvp,37.0,289.0,965
Rick Barry,1975,mvp,16.0,254.0,965
Kareem Abdul-Jabbar,1975,mvp,13.0,161.0,965
Tiny Archibald,1975,mvp,2.0,30.0,965
John Havlicek,1975,mvp,3.0,23.0,965
Phil Chenier,1975,mvp,3.0,20.0,965
Wes Unseld,1975,mvp,2.0,18.0,965
Sam Lacey,1975,mvp,2.0,13.0,965
Norm Van Lier,1975,mvp,0.0,9.0,965
Sidney Wicks,1975,mvp,1.0,8.0,965
Spencer Haywood,1975,mvp,0.0,7.0,965
Bob Lanier,1975,mvp,0.0,7.0,965
Walt Frazier,1975,mvp,0.0,6.0,965
Mike Bantom,1975,mvp,1.0,5.0,965
Earl Monroe,1975,mvp,0.0,5.0,965
Chet Walker,1975,mvp,0.0,5.0,965
Bob Love,1975,mvp,0.0,4.0,965
Jim Chones,1975,mvp,0.0,3.0,965
Fred Brown,1975,mvp,0.0,1.0,965
Rudy Tomjanovich,1975,mvp,0.0,1.0,965
Jamaal Wilkes,1975,roy,7.6,7.6,18
John Drew,1975,roy,5.1,5.1,18
Scott Wedman,1975,roy,3.8,3.8,18
Leonard Gray,1975,roy,1.2,1.2,18
Mike Sojourner,1975,roy,0.3,0.3,18
Kareem Abdul-Jabbar,1976,mvp,52.0,409.0,925
Bob McAdoo,1976,mvp,47.0,393.0,925
Dave Cowens,1976,mvp,48.0,378.0,925
Rick Barry,1976,mvp,20.0,201.0,925
George McGinnis,1976,mvp,4.0,80.0,925
Dave Bing,1976,mvp,2.0,35.0,925
Phil Smith,1976,mvp,2.0,25.0,925
Elvin Hayes,1976,mvp,1.0,17.0,925
Jim Chones,1976,mvp,2.0,13.0,925
Tiny Archibald,1976,mvp,1.0,13.0,925
Wes Unseld,1976,mvp,0.0,12.0,925
Earl Monroe,1976,mvp,2.0,11.0,925
Fred Brown,1976,mvp,1.0,10.0,925
Paul Silas,1976,mvp,1.0,9.0,925
Pete Maravich,1976,mvp,0.0,7.0,925
Clifford Ray,1976,mvp,0.0,6.0,925
Walt Frazier,1976,mvp,1.0,5.0,925
Jamaal Wilkes,1976,mvp,1.0,5.0,925
Phil Chenier,1976,mvp,0.0,5.0,925
Doug Collins,1976,mvp,0.0,3.0,925
John Drew,1976,mvp,0.0,3.0,925
Steve Mix,1976,mvp,0.0,3.0,925
Jo Jo White,1976,mvp,0.0,3.0,925
Bob Dandridge,1976,mvp,0.0,1.0,925
John Havlicek,1976,mvp,0.0,1.0,925
Truck Robinson,1976,mvp,0.0,1.0,925
Randy Smith,1976,mvp,0.0,1.0,925
Norm Van Lier,1976,mvp,0.0,1.0,925
Bill Walton,1976,mvp,0.0,1.0,925
Paul Westphal,1976,mvp,0.0,1.0,925
Alvan Adams,1976,roy,16.6,16.6,18
Gus Williams,1976,roy,0.6,0.6,18
World B. Free,1976,roy,0.4,0.4,18
Lionel Hollins,1976,roy,0.3,0.3,18
John Shumate,1976,roy,0.1,0.1,18
Kareem Abdul-Jabbar,1977,mvp,159.0,159.0,247
Bill Walton,1977,mvp,29.0,29.0,247
Pete Maravich,1977,mvp,15.0,15.0,247
Bob Lanier,1977,mvp,11.0,11.0,247
Julius Erving,1977,mvp,7.0,7.0,247
Moses Malone,1977,mvp,6.0,6.0,247
Elvin Hayes,1977,mvp,5.0,5.0,247
David Thompson,1977,mvp,5.0,5.0,247
Maurice Lucas,1977,mvp,4.0,4.0,247
Artis Gilmore,1977,mvp,2.0,2.0,247
George Gervin,1977,mvp,1.0,1.0,247
George McGinnis,1977,mvp,1.0,1.0,247
Norm Van Lier,1977,mvp,1.0,1.0,247
Jo Jo White,1977,mvp,1.0,1.0,247
Adrian Dantley,1977,roy,44.0,44.0,66
John Lucas,1977,roy,8.0,8.0,66
Bill Walton,1978,mvp,96.0,96.0,238
George Gervin,1978,mvp,80.5,80.5,238
David Thompson,1978,mvp,28.5,28.5,238
Kareem Abdul-Jabbar,1978,mvp,14.0,14.0,238
Walter Davis,1978,mvp,4.0,4.0,238
Maurice Lucas,1978,mvp,3.0,3.0,238
Paul Westphal,1978,mvp,3.0,3.0,238
Artis Gilmore,1978,mvp,2.0,2.0,238
Truck Robinson,1978,mvp,2.0,2.0,238
Julius Erving,1978,mvp,1.0,1.0,238
Marques Johnson,1978,mvp,1.0,1.0,238
Bob Lanier,1978,mvp,1.0,1.0,238
Bob McAdoo,1978,mvp,1.0,1.0,238
Marvin Webster,1978,mvp,1.0,1.0,238
Walter Davis,1978,roy,49.3,49.3,66
Marques Johnson,1978,roy,10.3,10.3,66
Bernard King,1978,roy,5.3,5.3,66
Jack Sikma,1978,roy,1.0,1.0,66
Norm Nixon,1978,roy,0.3,0.3,66
Moses Malone,1979,mvp,112.0,112.0,223
George Gervin,1979,mvp,35.0,35.0,223
Elvin Hayes,1979,mvp,28.0,28.0,223
Kareem Abdul-Jabbar,1979,mvp,15.0,15.0,223
Bob Dandridge,1979,mvp,7.0,7.0,223
World B. Free,1979,mvp,5.0,5.0,223
Jack Sikma,1979,mvp,4.0,4.0,223
Phil Ford,1979,mvp,3.0,3.0,223
David Thompson,1979,mvp,3.0,3.0,223
Walter Davis,1979,mvp,2.0,2.0,223
Phil Ford,1979,roy,62.0,62.0,66
Reggie Theus,1979,roy,4.0,4.0,66
Kareem Abdul-Jabbar,1980,mvp,147.0,147.0,221
Julius Erving,1980,mvp,31.5,31.5,221
George Gervin,1980,mvp,19.0,19.0,221
Larry Bird,1980,mvp,15.0,15.0,221
Tiny Archibald,1980,mvp,2.0,2.0,221
Dennis Johnson,1980,mvp,2.0,2.0,221
Dan Roundfield,1980,mvp,2.0,2.0,221
Gus Williams,1980,mvp,1.5,1.5,221
Moses Malone,1980,mvp,1.0,1.0,221
Larry Bird,1980,roy,63.0,63.0,66
Magic Johnson,1980,roy,3.0,3.0,66
Julius Erving,1981,mvp,28.0,454.0,690
Larry Bird,1981,mvp,20.0,423.0,690
Kareem Abdul-Jabbar,1981,mvp,8.0,286.0,690
Moses Malone,1981,mvp,8.0,180.0,690
George Gervin,1981,mvp,1.0,83.0,690
Marques Johnson,1981,mvp,1.0,73.0,690
Robert Parish,1981,mvp,0.0,53.0,690
Dennis Johnson,1981,mvp,0.0,50.0,690
Tiny Archibald,1981,mvp,0.0,32.0,690
Jamaal Wilkes,1981,mvp,0.0,19.0,690
Magic Johnson,1981,mvp,0.0,18.0,690
Adrian Dantley,1981,mvp,1.0,15.0,690
Phil Ford,1981,mvp,1.0,15.0,690
Bernard King,1981,mvp,0.0,12.0,690
Kelvin Ransey,1981,mvp,1.0,11.0,690
Jack Sikma,1981,mvp,0.0,11.0,690
Otis Birdsong,1981,mvp,0.0,7.0,690
Micheal Ray Richardson,1981,mvp,0.0,7.0,690
Truck Robinson,1981,mvp,0.0,6.0,690
Reggie Theus,1981,mvp,0.0,6.0,690
Norm Nixon,1981,mvp,0.0,5.0,690
Artis Gilmore,1981,mvp,0.0,4.0,690
Bob Lanier,1981,mvp,0.0,4.0,690
Michael Cooper,1981,mvp,0.0,3.0,690
Walter Davis,1981,mvp,0.0,3.0,690
George Johnson,1981,mvp,0.0,3.0,690
Bobby Jones,1981,mvp,0.0,3.0,690
Mike Mitchell,1981,mvp,0.0,3.0,690
James Silas,1981,mvp,0.0,3.0,690
Quinn Buckner,1981,mvp,0.0,1.0,690
Caldwell Jones,1981,mvp,0.0,1.0,690
Darrell Griffith,1981,roy,19.0,19.0,69
Kelvin Ransey,1981,roy,18.0,18.0,69
Larry Smith,1981,roy,14.0,14.0,69
Kevin McHale,1981,roy,11.0,11.0,69
Joe Barry Carroll,1981,roy,3.0,3.0,69
Michael Brooks,1981,roy,2.0,2.0,69
Mike O'Koren,1981,roy,1.0,1.0,69
Andrew Toney,1981,roy,1.0,1.0,69
Moses Malone,1982,mvp,40.0,507.0,690
Larry Bird,1982,mvp,20.0,406.0,690
Julius Erving,1982,mvp,1.0,203.0,690
Robert Parish,1982,mvp,4.0,131.0,690
Gus Williams,1982,mvp,2.0,115.0,690
George Gervin,1982,mvp,1.0,110.0,690
Sidney Moncrief,1982,mvp,1.0,101.0,690
Magic Johnson,1982,mvp,0.0,67.0,690
Jack Sikma,1982,mvp,0.0,33.0,690
Kareem Abdul-Jabbar,1982,mvp,0.0,31.0,690
Dan Roundfield,1982,mvp,0.0,14.0,690
Kelly Tripucka,1982,mvp,0.0,14.0,690
Alex English,1982,mvp,0.0,12.0,690
Bernard King,1982,mvp,0.0,10.0,690
Adrian Dantley,1982,mvp,0.0,7.0,690
Ray Williams,1982,mvp,0.0,6.0,690
Michael Cooper,1982,mvp,0.0,3.0,690
Dan Issel,1982,mvp,0.0,3.0,690
Marques Johnson,1982,mvp,0.0,3.0,690
Isiah Thomas,1982,mvp,0.0,3.0,690
Dennis Johnson,1982,mvp,0.0,1.0,690
Mychal Thompson,1982,mvp,0.0,1.0,690
Jay Vincent,1982,mvp,0.0,1.0,690
Jamaal Wilkes,1982,mvp,0.0,1.0,690
Buck Williams,1982,mvp,0.0,1.0,690
Buck Williams,1982,roy,33.0,33.0,69
Kelly Tripucka,1982,roy,22.0,22.0,69
Jay Vincent,1982,roy,11.0,11.0,69
Moses Malone,1983,mvp,69.0,720.0,750
Larry Bird,1983,mvp,1.0,364.0,750
Magic Johnson,1983,mvp,2.0,304.5,750
Sidney Moncrief,1983,mvp,0.0,226.0,750
Julius Erving,1983,mvp,3.0,112.0,750
Alex English,1983,mvp,0.0,42.0,750
Buck Williams,1983,mvp,0.0,40.0,750
Artis Gilmore,1983,mvp,0.0,33.0,750
George Gervin,1983,mvp,0.0,30.0,750
Kareem Abdul-Jabbar,1983,mvp,0.0,15.0,750
Jack Sikma,1983,mvp,0.0,13.0,750
Jeff Ruland,1983,mvp,0.0,12.0,750
Terry Cummings,1983,mvp,0.0,10.0,750
Maurice Lucas,1983,mvp,0.0,9.0,750
Alton Lister,1983,mvp,0.0,5.0,750
Bernard King,1983,mvp,0.0,4.0,750
Isiah Thomas,1983,mvp,0.0,4.0,750
Larry Drew,1983,mvp,0.0,3.0,750
Gus Williams,1983,mvp,0.0,3.0,750
Dan Roundfield,1983,mvp,0.0,2.0,750
Marques Johnson,1983,mvp,0.0,1.5,750
Norm Nixon,1983,mvp,0.0,1.0,750
Kiki Vandeweghe,1983,mvp,0.0,1.0,750
Terry Cummings,1983,roy,60.0,60.0,74
Clark Kellogg,1983,roy,11.0,11.0,74
James Worthy,1983,roy,3.0,3.0,74
Sidney Moncrief,1983,dpoy,14.0,14.0,75
Tree Rollins,1983,dpoy,10.0,10.0,75
Larry Bird,1983,dpoy,6.0,6.0,75
Maurice Cheeks,1983,dpoy,6.0,6.0,75
Michael Cooper,1983,dpoy,6.0,6.0,75
Bobby Jones,1983,dpoy,6.0,6.0,75
Larry Bird,1984,mvp,52.0,652.0,760
Bernard King,1984,mvp,11.0,373.0,760
Magic Johnson,1984,mvp,5.0,305.0,760
Kareem Abdul-Jabbar,1984,mvp,3.0,153.0,760
Isiah Thomas,1984,mvp,1.0,115.0,760
Julius Erving,1984,mvp,1.0,98.0,760
Adrian Dantley,1984,mvp,1.0,88.0,760
Sidney Moncrief,1984,mvp,1.0,70.0,760
Jeff Ruland,1984,mvp,1.0,38.0,760
Moses Malone,1984,mvp,0.0,35.0,760
Mark Aguirre,1984,mvp,0.0,28.0,760
Bill Laimbeer,1984,mvp,0.0,9.0,760
Rickey Green,1984,mvp,0.0,8.0,760
World B. Free,1984,mvp,0.0,1.0,760
Marques Johnson,1984,mvp,0.0,1.0,760
Ralph Sampson,1984,roy,76.0,76.0,76
Sidney Moncrief,1984,dpoy,19.0,19.0,76
Mark Eaton,1984,dpoy,14.0,14.0,76
Dennis Johnson,1984,dpoy,7.0,7.0,76
Maurice Cheeks,1984,dpoy,5.0,5.0,76
Michael Cooper,1984,dpoy,5.0,5.0,76
Bobby Jones,1984,dpoy,5.0,5.0,76
T.R. Dunn,1984,dpoy,4.0,4.0,76
Rickey Green,1984,dpoy,3.0,3.0,76
Larry Nance,1984,dpoy,2.0,2.0,76
Calvin Natt,1984,dpoy,2.0,2.0,76
Rory Sparrow,1984,dpoy,2.0,2.0,76
Larry Bird,1984,dpoy,1.0,1.0,76
Magic Johnson,1984,dpoy,1.0,1.0,76
Bill Laimbeer,1984,dpoy,1.0,1.0,76
Moses Malone,1984,dpoy,1.0,1.0,76
Tree Rollins,1984,dpoy,1.0,1.0,76
Lonnie Shelton,1984,dpoy,1.0,1.0,76
Mychal Thompson,1984,dpoy,1.0,1.0,76
Jamaal Wilkes,1984,dpoy,1.0,1.0,76
Kevin McHale,1984,smoy,59.0,59.0,76
John Drew,1984,smoy,14.0,14.0,76
Kenny Carr,1984,smoy,1.0,1.0,76
Phil Hubbard,1984,smoy,1.0,1.0,76
Bobby Jones,1984,smoy,1.0,1.0,76
Larry Bird,1985,mvp,73.0,763.0,780
Magic Johnson,1985,mvp,1.0,264.0,780
Moses Malone,1985,mvp,0.0,218.0,780
Kareem Abdul-Jabbar,1985,mvp,0.0,206.0,780
Terry Cummings,1985,mvp,2.0,138.0,780
Michael Jordan,1985,mvp,2.0,134.0,780
Bernard King,1985,mvp,0.0,70.0,780
Sidney Moncrief,1985,mvp,0.0,65.0,780
Isiah Thomas,1985,mvp,0.0,63.0,780
Ralph Sampson,1985,mvp,0.0,26.0,780
Calvin Natt,1985,mvp,0.0,22.0,780
Alex English,1985,mvp,0.0,12.0,780
Hakeem Olajuwon,1985,mvp,0.0,12.0,780
Micheal Ray Richardson,1985,mvp,0.0,11.0,780
Andrew Toney,1985,mvp,0.0,5.0,780
Mark Eaton,1985,mvp,0.0,4.0,780
Paul Pressey,1985,mvp,0.0,3.0,780
Jack Sikma,1985,mvp,0.0,3.0,780
Dominique Wilkins,1985,mvp,0.0,3.0,780
World B. Free,1985,mvp,0.0,2.0,780
