,player,season,age,team,position,g,gs,mp,fg,fga,fg_pct,three_p,three_pa,three_pct,two_p,two_pa,two_pct,efg,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,trp_dbl,season_num,gs_pct,award,first_place_votes,award_pts_won,award_pts_max
4767,Greg Sutton,1992,24,SAS,PG,67,2.0,601.0,93,240,0.38799999999999996,26.0,89.0,0.292,67,151,0.444,0.442,34,45,0.7559999999999999,6.0,41.0,47.0,91,26.0,9.0,70.0,111,246,0.0,1.0,0.029850746268656716,,0.0,0.0,96.0
4771,Caleb Swanigan,2018,20,POR,PF,27,3.0,189.0,24,60,0.4,1.0,8.0,0.125,23,52,0.442,0.408,12,18,0.667,15.0,39.0,54.0,14,5.0,3.0,18.0,37,61,0.0,1.0,0.1111111111111111,,0.0,0.0,505.0
4776,Mike Sweetney,2004,21,NYK,PF,42,1.0,494.0,69,140,0.493,0.0,1.0,0.0,69,139,0.496,0.493,42,58,0.7240000000000001,68.0,89.0,157.0,14,18.0,12.0,32.0,57,180,0.0,1.0,0.023809523809523808,,0.0,0.0,590.0
4780,Robert Swift,2005,19,SEA,C,16,0.0,72.0,5,11,0.455,0.0,0.0,N/A,5,11,0.455,0.455,5,9,0.556,1.0,4.0,5.0,2,1.0,7.0,4.0,16,15,0.0,1.0,0.0,,0.0,0.0,630.0
4784,Stromile Swift,2001,21,VAN,PF,80,6.0,1312.0,153,339,0.451,0.0,4.0,0.0,153,335,0.457,0.451,85,141,0.603,109.0,175.0,284.0,28,62.0,82.0,64.0,160,391,0.0,1.0,0.075,,0.0,0.0,124.0
4793,Aaron Swinson,1995,24,PHO,SF,9,0.0,51.0,10,18,0.556,0.0,0.0,N/A,10,18,0.556,0.556,4,5,0.8,3.0,5.0,8.0,3,1.0,0.0,5.0,8,24,0.0,1.0,0.0,,0.0,0.0,105.0
4794,Pape Sy,2011,22,ATL,SF,3,0.0,21.0,2,6,0.33299999999999996,0.0,1.0,0.0,2,5,0.4,0.33299999999999996,3,3,1.0,2.0,1.0,3.0,2,1.0,0.0,3.0,1,7,0.0,1.0,0.0,,0.0,0.0,590.0
4795,Larry Sykes,1996,22,BOS,PF,1,0.0,2.0,0,0,0.0,0.0,0.0,N/A,0,0,0.0,0.0,0,0,0.0,1.0,1.0,2.0,0,0.0,0.0,1.0,0,0,0.0,1.0,0.0,,0.0,0.0,113.0
4796,Brett Szabo,1997,28,BOS,C,70,24.0,662.0,54,121,0.446,0.0,1.0,0.0,54,120,0.45,0.446,45,61,0.738,56.0,109.0,165.0,17,16.0,32.0,41.0,119,153,0.0,1.0,0.34285714285714286,,0.0,0.0,115.0
4797,Wally Szczerbiak,2000,22,MIN,SF,73,53.0,2171.0,342,669,0.511,28.0,78.0,0.359,314,591,0.531,0.532,133,161,0.826,89.0,183.0,272.0,201,58.0,23.0,83.0,175,845,0.0,1.0,0.726027397260274,,0.0,0.0,121.0
4807,Ivan Rabb,2018,20,MEM,PF,36,5.0,516.0,86,152,0.5660000000000001,0.0,0.0,N/A,86,152,0.5660000000000001,0.5660000000000001,29,36,0.8059999999999999,53.0,105.0,158.0,32,12.0,13.0,35.0,55,201,0.0,1.0,0.1388888888888889,,0.0,0.0,505.0
